frame,time_s,x_red,y_red,x_green,y_green
625,10.426462904911181,974,669,1159.0,832.0
626,10.44314524555904,994,668,1111.0,881.0
627,10.459827586206897,1015,668,1062.0,907.0
628,10.476509926854755,1038,665,1001.0,908.0
629,10.493192267502613,1059,662,942.0,880.0
630,10.50987460815047,1072,659,900.0,845.0
631,10.526556948798328,1081,657,869.0,799.0
632,10.543239289446186,1086,655,847.0,750.0
633,10.559921630094044,1087,655,833.0,710.0
634,10.576603970741902,1086,656,826.0,670.0
635,10.59328631138976,1082,656,822.0,635.0
636,10.609968652037617,1076,658,819.0,609.0
637,10.626650992685475,1070,660,818.0,588.0
