frame,time_s,x_red,y_red,x_green,y_green
111,1.8517398119122257,1265,533,1250.0,783.0
112,1.8684221525600837,1298,486,1263.0,738.0
113,1.8851044932079415,1322,439,1285.0,688.0
114,1.9017868338557995,1338,392,1310.0,642.0
115,1.9184691745036573,1347,349,1336.0,606.0
116,1.935151515151515,1349,310,1366.0,567.0
117,1.951833855799373,1348,278,1399.0,530.0
118,1.9685161964472309,1345,253,1429.0,496.0
119,1.9851985370950889,1341,234,1460.0,462.0
120,2.0018808777429467,1339,221,1491.0,427.0
121,2.0185632183908044,1337,216,1516.0,398.0
122,2.0352455590386627,1338,217,1540.0,369.0
123,2.0519278996865205,1339,221,1563.0,343.0
124,2.0686102403343782,1342,233,1580.0,322.0
125,2.085292580982236,1345,252,1596.0,302.0
126,2.1019749216300943,1348,277,1604.0,286.0
127,2.118657262277952,1349,308,1606.0,273.0
128,2.13533960292581,1347,345,1597.0,267.0
129,2.1520219435736676,1338,384,1579.0,271.0
130,2.168704284221526,1327,425,1554.0,283.0
131,2.1853866248693836,1308,470,1521.0,308.0
132,2.2020689655172414,1283,513,1488.0,343.0
133,2.218751306165099,1251,554,1457.0,383.0
134,2.235433646812957,1208,594,1424.0,438.0
135,2.252115987460815,1159,626,1389.0,508.0
136,2.268798328108673,1106,647,1358.0,580.0
137,2.2854806687565308,1048,661,1308.0,658.0
138,2.3021630094043886,998,668,,
139,2.318845350052247,959,666,,
140,2.3355276907001046,930,662,,
141,2.3522100313479624,909,658,,
142,2.36889237199582,889,653,,
